CME,t0,dt0,pa,da,v,dv,minv,maxv,halo?,datetime
"<a href=""CME0039/CME.html"" target=""_blank"" >0039</a>",2025/03/08 09:36,02,327,044,0244,0025,0231,0317,,2025-03-08 09:36:00
"<a href=""CME0038/CME.html"" target=""_blank"" >0038</a>",2025/03/08 09:36,01,180,006,0429,0047,0372,0496,,2025-03-08 09:36:00
"<a href=""CME0037/CME.html"" target=""_blank"" >0037</a>",2025/03/08 07:24,04,223,044,0339,0105,0158,0589,,2025-03-08 07:24:00
"<a href=""CME0036/CME.html"" target=""_blank"" >0036</a>",2025/03/07 21:49,01,167,036,0461,0148,0227,0808,,2025-03-07 21:49:00
"<a href=""CME0035/CME.html"" target=""_blank"" >0035</a>",2025/03/07 19:36,06,217,060,0321,0173,0107,0744,,2025-03-07 19:36:00
"<a href=""CME0034/CME.html"" target=""_blank"" >0034</a>",2025/03/07 16:48,02,326,046,0267,0084,0148,0446,,2025-03-07 16:48:00
"<a href=""CME0033/CME.html"" target=""_blank"" >0033</a>",2025/03/07 09:48,01,251,008,0226,0018,0202,0250,,2025-03-07 09:48:00
"<a href=""CME0032/CME.html"" target=""_blank"" >0032</a>",2025/03/07 03:24,00,134,014,0467,0011,0446,0478,,2025-03-07 03:24:00
"<a href=""CME0031/CME.html"" target=""_blank"" >0031</a>",2025/03/07 01:48,01,162,010,0837,0109,0744,1041,,2025-03-07 01:48:00
"<a href=""CME0030/CME.html"" target=""_blank"" >0030</a>",2025/03/07 01:24,02,184,074,0416,0096,0214,0644,,2025-03-07 01:24:00
"<a href=""CME0029/CME.html"" target=""_blank"" >0029</a>",2025/03/06 05:48,01,170,022,0223,0047,0166,0322,,2025-03-06 05:48:00
"<a href=""CME0028/CME.html"" target=""_blank"" >0028</a>",2025/03/05 18:12,01,341,032,0361,0103,0250,0625,,2025-03-05 18:12:00
"<a href=""CME0027/CME.html"" target=""_blank"" >0027</a>",2025/03/05 12:36,01,162,026,0285,0098,0168,0538,,2025-03-05 12:36:00
"<a href=""CME0026/CME.html"" target=""_blank"" >0026</a>",2025/03/05 11:12,01,345,016,0473,0115,0258,0548,,2025-03-05 11:12:00
"<a href=""CME0025/CME.html"" target=""_blank"" >0025</a>",2025/03/05 05:24,03,130,022,0416,0145,0279,0744,,2025-03-05 05:24:00
"<a href=""CME0024/CME.html"" target=""_blank"" >0024</a>",2025/03/05 03:12,02,085,032,0613,0168,0289,0919,,2025-03-05 03:12:00
"<a href=""CME0023/CME.html"" target=""_blank"" >0023</a>",2025/03/04 23:24,01,306,006,1953,0125,1736,1953,,2025-03-04 23:24:00
"<a href=""CME0022/CME.html"" target=""_blank"" >0022</a>",2025/03/04 21:25,01,280,034,1477,0503,0596,1874,,2025-03-04 21:25:00
"<a href=""CME0021/CME.html"" target=""_blank"" >0021</a>",2025/03/04 18:24,01,238,010,1117,0219,0694,1275,,2025-03-04 18:24:00
"<a href=""CME0020/CME.html"" target=""_blank"" >0020</a>",2025/03/04 18:24,01,159,008,0281,0114,0128,0473,,2025-03-04 18:24:00
"<a href=""CME0019/CME.html"" target=""_blank"" >0019</a>",2025/03/04 12:48,00,186,006,0474,0171,0241,0721,,2025-03-04 12:48:00
"<a href=""CME0018/CME.html"" target=""_blank"" >0018</a>",2025/03/04 10:24,01,163,016,0631,0118,0477,0880,,2025-03-04 10:24:00
"<a href=""CME0017/CME.html"" target=""_blank"" >0017</a>",2025/03/04 10:00,01,249,008,0744,0145,0466,0801,,2025-03-04 10:00:00
"<a href=""CME0016/CME.html"" target=""_blank"" >0016</a>",2025/03/04 03:36,01,163,016,1179,0221,0932,1602,,2025-03-04 03:36:00
"<a href=""CME0015/CME.html"" target=""_blank"" >0015</a>",2025/03/04 03:36,02,177,060,0563,0438,0144,1838,,2025-03-04 03:36:00
"<a href=""CME0014/CME.html"" target=""_blank"" >0014</a>",2025/03/04 01:00,01,134,014,0771,0143,0637,1008,,2025-03-04 01:00:00
"<a href=""CME0013/CME.html"" target=""_blank"" >0013</a>",2025/03/03 19:24,01,298,006,1099,0455,0452,1736,,2025-03-03 19:24:00
"<a href=""CME0012/CME.html"" target=""_blank"" >0012</a>",2025/03/03 17:24,02,159,024,0844,0349,0170,0976,,2025-03-03 17:24:00
"<a href=""CME0011/CME.html"" target=""_blank"" >0011</a>",2025/03/03 12:00,01,172,014,0560,0146,0385,0868,,2025-03-03 12:00:00
"<a href=""CME0010/CME.html"" target=""_blank"" >0010</a>",2025/03/03 09:24,03,055,028,0324,0080,0173,0473,,2025-03-03 09:24:00
"<a href=""CME0009/CME.html"" target=""_blank"" >0009</a>",2025/03/03 01:00,00,231,012,0460,0128,0351,0694,,2025-03-03 01:00:00
"<a href=""CME0008/CME.html"" target=""_blank"" >0008</a>",2025/03/02 12:12,02,190,046,0410,0737,0126,1952,,2025-03-02 12:12:00
"<a href=""CME0007/CME.html"" target=""_blank"" >0007</a>",2025/03/02 10:48,01,057,008,0192,0039,0120,0214,,2025-03-02 10:48:00
"<a href=""CME0006/CME.html"" target=""_blank"" >0006</a>",2025/03/02 10:00,02,326,094,0437,0028,0388,0499,II,2025-03-02 10:00:00
"<a href=""CME0005/CME.html"" target=""_blank"" >0005</a>",2025/03/02 09:48,00,116,018,0875,0134,0744,1116,,2025-03-02 09:48:00
"<a href=""CME0004/CME.html"" target=""_blank"" >0004</a>",2025/03/02 03:48,01,115,016,0976,0170,0694,1201,,2025-03-02 03:48:00
"<a href=""CME0003/CME.html"" target=""_blank"" >0003</a>",2025/03/02 01:24,01,111,008,0801,0012,0801,0822,,2025-03-02 01:24:00
"<a href=""CME0002/CME.html"" target=""_blank"" >0002</a>",2025/03/01 23:24,02,160,070,0612,0561,0125,1953,,2025-03-01 23:24:00
"<a href=""CME0001/CME.html"" target=""_blank"" >0001</a>",2025/03/01 18:12,04,154,086,0400,0072,0224,0529,,2025-03-01 18:12:00
"<a href=""Flow0023/CME.html"" target=""_blank"" >0023</a>",2025/03/30 15:00,01,309,012,0234,0053,0148,0256,,2025-03-30 15:00:00
"<a href=""Flow0022/CME.html"" target=""_blank"" >0022</a>",2025/03/28 23:48,00,074,010,0344,0087,0224,0422,,2025-03-28 23:48:00
"<a href=""Flow0021/CME.html"" target=""_blank"" >0021</a>",2025/03/28 08:12,02,212,014,0109,0006,0106,0124,,2025-03-28 08:12:00
"<a href=""Flow0020/CME.html"" target=""_blank"" >0020</a>",2025/03/28 05:49,02,222,010,0174,0009,0164,0190,,2025-03-28 05:49:00
"<a href=""Flow0019/CME.html"" target=""_blank"" >0019</a>",2025/03/25 11:24,00,261,008,0133,0000,0133,0133,,2025-03-25 11:24:00
"<a href=""Flow0018/CME.html"" target=""_blank"" >0018</a>",2025/03/23 10:24,01,085,008,0520,0000,0520,0520,,2025-03-23 10:24:00
"<a href=""Flow0017/CME.html"" target=""_blank"" >0017</a>",2025/03/22 21:48,04,247,012,0098,0042,0097,0182,,2025-03-22 21:48:00
